"","","","","","","",""
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern Central","","","2011","Coartem/ACT","63"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern","","","2011","Coartem/ACT","59"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Karamoja","","","2011","Coartem/ACT","81"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","West - Nile","","","2011","Coartem/ACT","76"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Western","","","2011","Coartem/ACT","72"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","South - West","","","2011","Coartem/ACT","59"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","< 12 Months","2011","Quinine","31"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","12 - 23 Months","2011","Quinine","24"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","24 - 35 Months","2011","Quinine","22"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","48 - 59 Months","2011","Quinine","22"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Male","","2011","Quinine","22"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Female","","2011","Quinine","25"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Quinine","24"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Quinine","24"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Kampala","","","2011","Quinine","12"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central","","","2011","Quinine","18"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central 2","","","2011","Quinine","25"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern Central","","","2011","Quinine","17"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern","","","2011","Quinine","35"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Karamoja","","","2011","Quinine","15"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","North","","","2011","Quinine","15"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","West - Nile","","","2011","Quinine","21"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Western","","","2011","Quinine","22"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","South - West","","","2011","Quinine","31"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","< 12 Months","2011","Other anti-malarial","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","12 - 23 Months","2011","Other anti-malarial","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","24 - 35 Months","2011","Other anti-malarial","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","36 - 47 Months","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","48 - 59 Months","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Male","","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Other anti-malarial","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Kampala","","","2011","Other anti-malarial","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central","","","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Female","","2011","","89"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern Central","","","2011","Other anti-malarial","4"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Eastern","","","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Karamoja","","","2011","Other anti-malarial","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","North","","","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","West - Nile","","","2011","Other anti-malarial","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Western","","","2011","Other anti-malarial","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","South - West","","","2011","Other anti-malarial","0"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","36 - 47 Months","2011","Chloroquine with Fansidar","2"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central 2","","","2011","Other anti-malarial","3"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Central","","","2011","Chloroquine","6"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","Male","","2011","Coartem/ACT","70"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","North","","","2011","SP Fansidar","1"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","Uganda","","36 - 47 Months","2011","Quinine","21"
"Percentage of children with fever in the two weeks preceding the survey who took any antimalarial medication","Nutrition","North","","","2011","Coartem/ACT","82"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","","Under 12 Months","2011","","32"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","","12 - 23 Months","2011","","44"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","","24 - 35 Months","2011","","44"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","","36 - 47 Months","2011","","45"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","","48 - 59 Months","2011","","45"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","Male","","2011","","41"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","Female","","2011","","43"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","","","2011","","43"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Uganda","","","2011","","42"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Kampala","","","2011","","43"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Central","","","2011","","38"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Central 2","","","2011","","44"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Eastern Central","","","2011","","26"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Eastern","","","2011","","52"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Karamoja","","","2011","","61"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","North","","","2011","","49"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","West - Nile","","","2011","","57"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","Western","","","2011","","37"
"Percentage of children with fever who took antimalarial drugs same or next dayin the two weeks preceding the survey","Nutrition","South - West","","","2011","","19"
"Percentage of women who are thin","Nutrition","Uganda","Female","15 - 49 Years","2011","","12"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2011","Received any ANC from a skilled provider","93"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2011","Had 4+ ANC visits","46"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","","2011","","50"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Central","Female","","2011","","44"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Central 2","Female","","2011","","39"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","15 - 19 Years","2011","","35"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","20 - 24 Years","2011","","41"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","25 - 29 Years","2011","","38"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","30 - 39 Years","2011","","38"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","40 - 49 Years","2011","","34"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Eastern","Female","","2011","","27"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Karamoja","Female","","2011","","20"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","North","Female","","2011","","46"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","West - Nile","Female","","2011","","19"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Western","Female","","2011","","37"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","South - West","Female","","2011","","38"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Kampala","Female","","2011","","55"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","","2011","","34"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Eastern Central","Female","","2011","","35"
"Percentage of women with a comprehensive knowledge about AIDS","Nutrition","Uganda","Female","15 - 24 Years","2011","","38"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Uganda","Female","15 - 49 Years","2011","","61"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Kampala","Female","15 - 49 Years","2011","","64"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Central","Female","15 - 49 Years","2011","","59"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Central 2","Female","15 - 49 Years","2011","","58"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Eastern Central","Female","15 - 49 Years","2011","","43"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Eastern","Female","15 - 49 Years","2011","","76"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Karamoja","Female","15 - 49 Years","2011","","61"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","North","Female","15 - 49 Years","2011","","68"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","West - Nile","Female","15 - 49 Years","2011","","57"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Western","Female","15 - 49 Years","2011","","65"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","South - West","Female","15 - 49 Years","2011","","58"
"Percentage of women with a live birth in the two years preceding the survey who took any antimalarial drug","Nutrition","Uganda","Female","15 - 49 Years","2011","","65"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","Under 12 Months","2009","","48"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","0 - 5 Months","2009","","32"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","6 - 11 Months","2009","","56"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","12 - 23 Months","2009","","68"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","24 - 35 Months","2009","","62"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","36 - 47 Months","2009","","58"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","48 - 59 Months","2009","","57"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","","2009","","52"
"Percentage of children who took antimalarial drugs","Nutrition","Uganda","","","2009","","60"
"Percentage of children who took antimalarial drugs","Nutrition","Central","","","2009","","61"
"Percentage of children who took antimalarial drugs","Nutrition","Central 2","","","2009","","58"
"Percentage of children who took antimalarial drugs","Nutrition","Kampala","","","2009","","48"
"Percentage of children who took antimalarial drugs","Nutrition","Eastern Central","","","2009","","38"
"Percentage of children who took antimalarial drugs","Nutrition","North Eastern","","","2009","","69"
"Percentage of children who took antimalarial drugs","Nutrition","Mid - Northern","","","2009","","71"
"Percentage of children who took antimalarial drugs","Nutrition","West - Nile","","","2009","","67"
"Percentage of children who took antimalarial drugs","Nutrition","Mid - Western","","","2009","","67"
"Percentage of children who took antimalarial drugs","Nutrition","South - Western","","","2009","","47"
"Percentage of children who took antimalarial drugs","Nutrition","Mid - Eastern","","","2009","","59"
"Percentage of children who received  basic vaccinations at any time before the survey","Nutrition","Uganda","","12 - 23 months","2006","","46"
"Percentage of women who are thin","Nutrition","Uganda","Female","15 - 49 Years","2006","","12"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2006","Had 4+ ANC visits","45"
"Percentage of women who had a live birth in the 2 years before the survey","Nutrition","Uganda","Female","15 - 49 Years","2006","Received any ANC from a skilled provider","93"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","48 - 59 Months","2001","Severe (below 7.0 g/dl)","1"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Central","","","2001","Moderate (7.0-9.9 g/dl)","38"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","6 - 9 Months","2001","Severe (below 7.0 g/dl)","16"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","10 - 11 Months","2001","Severe (below 7.0 g/dl)","15"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","12 - 15 Months","2001","Severe (below 7.0 g/dl)","13"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","16 - 19 Months","2001","Severe (below 7.0 g/dl)","8"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","20 - 23 Months","2001","Severe (below 7.0 g/dl)","9"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","24 - 35 Months","2001","Severe (below 7.0 g/dl)","4"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","36 - 47 Months","2001","Severe (below 7.0 g/dl)","3"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","Male","","2001","Severe (below 7.0 g/dl)","7"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","Female","","2001","Severe (below 7.0 g/dl)","6"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","","2001","Severe (below 7.0 g/dl)","2"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","","2001","Severe (below 7.0 g/dl)","7"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Central","","","2001","Severe (below 7.0 g/dl)","5"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Eastern","","","2001","Severe (below 7.0 g/dl)","7"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Northern","","","2001","Severe (below 7.0 g/dl)","6"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Western","","","2001","Severe (below 7.0 g/dl)","7"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","6 - 9 Months","2001","Moderate (7.0-9.9 g/dl)","50"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","10 - 11 Months","2001","Moderate (7.0-9.9 g/dl)","52"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","12 - 15 Months","2001","Moderate (7.0-9.9 g/dl)","54"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","16 - 19 Months","2001","Moderate (7.0-9.9 g/dl)","48"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","20 - 23 Months","2001","Moderate (7.0-9.9 g/dl)","45"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","36 - 47 Months","2001","Moderate (7.0-9.9 g/dl)","29"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","48 - 59 Months","2001","Moderate (7.0-9.9 g/dl)","23"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","Female","","2001","Moderate (7.0-9.9 g/dl)","36"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","","2001","Moderate (7.0-9.9 g/dl)","38"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Eastern","","","2001","Moderate (7.0-9.9 g/dl)","40"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Northern","","","2001","Moderate (7.0-9.9 g/dl)","43"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Western","","","2001","Moderate (7.0-9.9 g/dl)","31"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","6 - 9 Months","2001","Mild (10.0-10.9 g/dl)","14"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","10 - 11 Months","2001","Mild (10.0-10.9 g/dl)","16"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","12 - 15 Months","2001","Mild (10.0-10.9 g/dl)","12"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","16 - 19 Months","2001","Mild (10.0-10.9 g/dl)","20"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","20 - 23 Months","2001","Mild (10.0-10.9 g/dl)","18"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","24 - 35 Months","2001","Mild (10.0-10.9 g/dl)","22"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","36 - 47 Months","2001","Mild (10.0-10.9 g/dl)","23"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","48 - 59 Months","2001","Mild (10.0-10.9 g/dl)","22"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","Male","","2001","Mild (10.0-10.9 g/dl)","20"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","","2001","Mild (10.0-10.9 g/dl)","19"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","","2001","Mild (10.0-10.9 g/dl)","20"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Central","","","2001","Mild (10.0-10.9 g/dl)","19"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Eastern","","","2001","Mild (10.0-10.9 g/dl)","22"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Northern","","","2001","Mild (10.0-10.9 g/dl)","22"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Western","","","2001","Mild (10.0-10.9 g/dl)","16"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","24 - 35 Months","2001","Moderate (7.0-9.9 g/dl)","36"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","Female","","2001","Mild (10.0-10.9 g/dl)","20"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","","","2001","Moderate (7.0-9.9 g/dl)","29"
"Percentage distribution of children of interviewed mothers by anaemia status","Nutrition","Uganda","Male","","2001","Moderate (7.0-9.9 g/dl)","39"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Uganda","Female","25 - 29 Years","2001","","64"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Uganda","Female","30 - 39 Years","2001","","61"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Uganda","Female","40 - 49 Years","2001","","62"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Uganda","Female","","2001","","47"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Uganda","Female","","2001","","66"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Central","Female","","2001","","54"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Eastern","Female","","2001","","70"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Northern","Female","","2001","","73"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Western","Female","","2001","","63"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Uganda","Female","20 - 24 Years","2001","","67"
"Percentage distribution of women who want to be tested but not tested","Nutrition","Uganda","Female","15 - 19 Years","2001","","62"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","6 - 11 Months","2001","","56"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","36 - 47 Months","2001","","40"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","48 - 59 Months","2001","","29"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","Male","","2001","","44"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","Female","","2001","","43"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","","2001","","32"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Central","","","2001","","37"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Eastern","","","2001","","54"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Northern","","","2001","","50"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Western","","","2001","","33"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","12 - 23 Months","2001","","57"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","","2001","","45"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","< 6 Months","2001","","32"
"Percentage of children who had fever in the two weeks preceeding the survey","Nutrition","Uganda","","24 - 35 Months","2001","","44"
"Percentage of children who received  basic vaccinations at any time before the survey","Nutrition","Uganda","","12 - 23 months","2001","","37"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Uganda","Female","15 - 19 Years","2001","","15"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Uganda","Female","20 - 24 Years","2001","","10"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Uganda","Female","25 - 29 Years","2001","","9"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Uganda","Female","30 - 39 Years","2001","","8"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Uganda","Female","40 - 49 Years","2001","","8"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Uganda","Female","","2001","","7"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Uganda","Female","","2001","","11"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Northern","Female","","2001","","17"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Western","Female","","2001","","5"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Central","Female","","2001","","6"
"Percentage of individuals who are not willing to care for relative with AIDS at home","Nutrition","Eastern","Female","","2001","","16"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Heard on both","25"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Heard on both","2"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Central","Male","","1995","Heard on both","11"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Eastern","Male","","1995","Heard on both","8"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Northern","Male","","1995","Heard on both","1"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Western","Male","","1995","Heard on both","1"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Heard on neither","22"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Eastern","Male","","1995","Heard on neither","50"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Northern","Male","","1995","Heard on neither","59"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Western","Male","","1995","Heard on neither","49"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Radio only","50"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Radio only","44"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Central","Male","","1995","Radio only","49"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Eastern","Male","","1995","Radio only","41"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Northern","Male","","1995","Radio only","39"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Western","Male","","1995","Radio only","48"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Television only","1"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Television only","0"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Central","Male","","1995","Television only","1"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Eastern","Male","","1995","Television only","0"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Northern","Male","","1995","Television only","0"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Western","Male","","1995","Television only","0"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Central","Male","","1995","Heard on neither","38"
"Percentage distribution of men by whether they have heard a radio or television message about family planning in the six months prior to the interview","Nutrition","Uganda","Male","","1995","Heard on neither","52"
